candidate,party,probNominee,probPresident,probPresidentGivenNominee,whenPulled
Kamala Harris,dem,0.25,0.18,0.72,2019-01-28T02:12:08.773973+00:00
Bernie Sanders,dem,0.16,0.12,0.75,2019-01-28T02:12:08.773973+00:00
Joe Biden,dem,0.17,0.13,0.7647058823529411,2019-01-28T02:12:08.773973+00:00
Beto O'Rourke,dem,0.14,0.11,0.7857142857142857,2019-01-28T02:12:08.773973+00:00
Elizabeth Warren,dem,0.11,0.07,0.6363636363636365,2019-01-28T02:12:08.773973+00:00
Cory Booker,dem,0.09,0.05,0.5555555555555556,2019-01-28T02:12:08.773973+00:00
Amy Klobuchar,dem,0.07,0.05,0.7142857142857143,2019-01-28T02:12:08.773973+00:00
Sherrod Brown,dem,0.06,0.05,0.8333333333333334,2019-01-28T02:12:08.773973+00:00
Kirsten Gillibrand,dem,0.06,0.04,0.6666666666666667,2019-01-28T02:12:08.773973+00:00
Mike Bloomberg,dem,0.05,0.04,0.7999999999999999,2019-01-28T02:12:08.773973+00:00
Oprah Winfrey,dem,0.04,,,2019-01-28T02:12:08.773973+00:00
Hillary Clinton,dem,0.03,,,2019-01-28T02:12:08.773973+00:00
Donald Trump,gop,0.63,0.3,0.47619047619047616,2019-01-28T02:12:08.773973+00:00
Nikki Haley,gop,0.11,0.05,0.4545454545454546,2019-01-28T02:12:08.773973+00:00
Mike Pence,gop,0.1,0.04,0.39999999999999997,2019-01-28T02:12:08.773973+00:00
John Kasich,gop,0.08,0.03,0.375,2019-01-28T02:12:08.773973+00:00
Mitt Romney,gop,0.07,,,2019-01-28T02:12:08.773973+00:00
Marco Rubio,gop,0.04,,,2019-01-28T02:12:08.773973+00:00
Ted Cruz,gop,0.04,,,2019-01-28T02:12:08.773973+00:00
Tom Cotton,gop,0.03,,,2019-01-28T02:12:08.773973+00:00
Ben Sasse,gop,0.03,,,2019-01-28T02:12:08.773973+00:00
Paul Ryan,gop,0.02,,,2019-01-28T02:12:08.773973+00:00
Rand Paul,gop,0.02,,,2019-01-28T02:12:08.773973+00:00
